"Customer Name",Highest_Single_Order_Value
"Darrin Van Huff",721.88
"Stewart Carmichael",718.12
"Ken Dana",717.72
"Justin Ritter",717.12
"Steve Chapman",714.30
"John Castell",705.54
"Nat Carroll",704.76
"Ritsa Hightower",704.76
"John Grady",704.25
"Max Engle",701.96
"Roy Phan",699.98
"Alyssa Crouse",698.35
"Jason Gross",695.16
"Benjamin Farhat",692.94
"Hallie Redmond",687.40
"Cindy Chapman",686.40
"Patricia Hirasaki",683.95
"Becky Castell",681.41
"Chad McGuire",677.58
"Bruce Degenhardt",675.06
"Matt Connell",674.06
"Helen Andreada",671.93
"Aaron Hawkins",668.16
"Max Ludwig",663.94
"Tony Sayre",662.88
"Art Ferguson",662.84
"Barry Franz",659.98
"Dorris liebe",658.75
"Randy Bradley",657.93
"Cyma Kinney",652.45
"Tracy Poddar",650.35
"Sonia Cooley",647.84
"Liz MacKendrick",646.78
"Chris Selesnick",646.74
"Darren Koutras",646.20
"Benjamin Venier",643.14
"Laurel Elliston",641.96
"Lena Hernandez",638.82
"Ashley Jarboe",638.73
"Beth Paige",638.29
"Chris Cortes",637.90
"Sam Zeldin",637.44
"Vicky Freymann",634.12
"Tim Brockman",631.96
"Magdelene Morse",631.78
"Giulietta Weimer",631.18
"Odella Nelson",630.02
"Sally Knutson",629.96
"Ken Brennan",629.95
"Gene McClure",629.93
"Chad Cunningham",627.17
"Mick Brown",627.17
"Russell D'Ascenzo",623.96
"David Smith",622.45
"Christine Sundaresam",619.95
"Charlotte Melton",607.52
"Luke Schmidt",605.34
"Patrick O'Donnell",604.75
"Peter Bühler",604.66
"Tracy Zic",603.92
"Vivek Sundaresam",602.65
"Kalyca Meade",601.65
"Joy Smith",600.56
"Erin Ashbrook",599.99
"Katrina Edelman",599.90
"Katherine Nockton",598.46
"Patrick Gardner",595.00
"Michelle Lonsdale",595.00
"Duane Benoit",594.82
"Carl Weiss",592.74
"Nancy Lomonaco",590.35
"Jim Radford",590.06
"Evan Henry",588.78
"Carlos Soltero",585.55
"Bart Pistole",583.80
"Nat Gilpin",579.51
"Steven Ward",579.14
"Helen Abelman",579.14
"Sam Craven",577.58
"Laurel Workman",575.92
"Jay Kimmel",573.17
"Eric Murdock",572.80
"Candace McMahon",572.58
"Mike Kennedy",571.44
"Patrick Ryan",568.73
"Parhena Norris",563.94
"Valerie Takahito",563.81
"Barry Pond",563.40
"Cindy Schnelling",562.29
"Andy Gerbode",559.71
Corey-Lock,558.40
"Annie Zypern",557.73
"Herbert Flentye",556.67
"Susan Vittorini",552.00
"Maureen Fritzler",551.99
"Victor Preis",546.06
"Tony Molinari",543.92
"Raymond Messe",542.94
"Emily Grady",542.65
"Nathan Gelder",540.05
"Thomas Thornton",537.54
"Steve Nguyen",532.40
"Denny Blanton",526.45
"Eric Barreto",526.34
"Alex Russell",523.76
"Ralph Ritter",520.46
"Roland Fjeld",519.96
"Chuck Clark",518.27
"Sean Wendt",517.90
"Andrew Gjertsen",516.96
"Michelle Tran",514.17
"Cathy Armstrong",513.02
"Theresa Coyne",512.96
"Ryan Akin",505.18
"Henry MacAllister",503.96
"Paul Gonzalez",503.96
"Nick Radford",503.96
"Bryan Spruell",501.81
"Allen Armold",499.98
"Eudokia Martin",494.97
"Monica Federle",494.97
"Elizabeth Moffitt",492.77
"Maurice Satty",491.55
"Bruce Geld",486.37
"Dan Lawera",483.14
"Dorothy Wardle",482.94
"Christine Abelman",481.32
"Julie Prescott",481.32
"Joni Blumstein",479.99
"Karl Braun",479.98
"Alejandro Ballentine",479.98
"Cari Schnelling",479.98
"Andrew Allen",479.97
"Aimee Bixby",479.97
"Marina Lichtenstein",479.97
"Bryan Mills",475.94
"Philip Brown",464.85
"Sibella Parks",459.95
"Noel Staavos",458.43
"Bradley Nguyen",454.90
"Toby Swindell",454.86
"Jesus Ocampo",453.58
"Liz Pelletier",451.15
"Carlos Meador",451.14
"Astrea Jones",449.15
"Matthew Clasen",449.15
"Debra Catini",447.94
"Frank Gastineau",447.86
"Catherine Glotzbach",447.70
"Cyra Reiten",438.34
"Anne Pryor",437.47
"Rob Haberlin",435.50
"Greg Guthrie",435.17
"Dennis Bolton",434.65
"Susan MacKendrick",431.98
"Clytie Kelty",431.16
"Sally Hughsby",424.96
"Theresa Swint",422.06
"Ross DeVincentis",419.40
"Katrina Bavinger",419.40
"Mark Van Huff",415.87
"Jamie Frazer",415.18
"Saphhira Shifley",411.98
"Tony Chapman",411.80
"Duane Huffman",411.33
"David Kendrick",408.74
"Maria Bertelson",408.01
"Pamela Stobb",399.54
"Erica Hernandez",398.35
"Denise Leinenbach",393.54
"Kimberly Carter",390.27
"Fred McMath",389.97
"Tracy Collins",389.97
"Jim Sink",389.06
"Jennifer Braxton",387.99
"Angele Hood",383.96
"Jim Mitchum",383.95
"Roy Französisch",383.64
"Nona Balk",383.44
"Tiffany House",381.58
"Adrian Hane",377.45
"Denny Ordway",375.46
"Maria Zettner",371.97
"Ivan Gibson",370.14
"Rachel Payne",369.20
"Darren Powers",368.91
"Delfina Latchford",361.92
"Beth Fritzler",361.38
"Paul Stevenson",359.32
"Brad Thomas",355.96
"Bobby Trafton",353.57
"Art Foster",349.97
"Mathew Reese",347.97
"Barry Blumstein",344.70
"Phillina Ober",344.37
"Aaron Bergman",341.96
"Chad Sievert",340.14
"Lena Cacioppo",339.96
"Pete Armstrong",339.96
"Logan Haushalter",338.04
"Xylona Preis",337.09
"Ann Steele",336.51
"Brian DeCherney",333.09
"Vivek Grady",331.54
"Roy Collins",328.22
"Erica Hackney",328.00
"Joy Bell-",327.73
"Tim Taslimi",323.10
"Kelly Andreada",321.57
"Ted Butterfield",319.41
"Carol Darley",318.96
"David Wiener",318.43
"Sarah Jordon",317.06
"Barbara Fisher",314.55
"Harry Greene",314.35
"Anthony Witt",310.88
"Jennifer Jackson",307.98
"Joni Wasserman",304.45
"Alan Barnes",304.23
"Todd Boyes",302.94
"Doug O'Connell",302.94
"Jonathan Howell",302.38
"MaryBeth Skach",301.96
"Evan Minnotte",298.12
"Julie Creighton",292.27
"Jeremy Farry",291.17
"Sung Shariari",290.35
"Corey Roper",289.20
"Chuck Sachs",287.97
"Matt Collins",285.55
"Charles Sheldon",285.48
"Neil Knudson",284.08
"Stephanie Phelps",279.96
"Lynn Smith",279.96
"Shirley Schmidt",279.86
"Toby Ritter",278.40
"Ryan Crowe",275.49
"Larry Hughes",271.96
"Neil Französisch",269.98
"Roger Demir",268.70
"Jason Klamczynski",267.96
"Michael Stewart",255.97
"Sandra Flanagan",254.90
"Joni Sundaresam",254.74
"Erin Creighton",249.95
"Lori Olson",247.44
"Darrin Sayre",242.94
"George Bell",241.92
"Mark Haberlin",241.50
"Bryan Davis",240.78
"Alice McCarthy",239.97
"Richard Eichhorn",239.90
"Melanie Seite",239.37
"Scot Wooten",239.36
"Sung Chung",237.10
"Brian Derr",232.40
"Brendan Murry",231.98
"Aleksandra Gannaway",230.28
"John Huston",228.92
"Julia Dunbar",221.16
"Jason Fortune-",220.96
"Berenike Kampe",214.95
"Vivek Gonzalez",211.17
"Muhammed MacIntyre",207.98
"Guy Armstrong",205.67
"Larry Tron",201.58
"Anna Chung",201.58
"Sonia Sunley",199.99
"Patrick Bzostek",199.90
"Rob Beeghly",198.74
"Lycoris Saunders",197.37
"Khloe Miller",196.78
"Alex Grayson",182.55
"Harold Engle",174.95
"Christina DeMoss",169.68
"Brad Norvell",166.84
"Heather Jas",163.88
"Anthony O'Donnell",161.28
"Erin Mull",159.98
"Stuart Calhoun",159.98
"Michael Granlund",156.79
"Brendan Dodson",151.96
"Nicole Brennan",143.95
"Alan Shonely",142.78
"Shui Tom",139.44
"Joy Daniels",132.60
"Vivian Mathis",129.98
"Bobby Odegard",124.75
"Jennifer Halladay",120.00
"Joel Jenkins",119.96
"Don Weiss",119.96
"Anthony Garverick",113.10
"Hilary Holden",109.92
"Lisa Hazard",107.98
"Kelly Williams",106.50
"Sally Matthias",106.34
"Jill Matthias",105.55
"Guy Phonely",104.90
"Harold Dahlen",104.58
"Eric Hoffmann",100.70
"Andy Yotov",97.18
"Bart Folk",94.85
"Pete Takahito",93.46
"Andrew Roberts",89.97
"Ed Ludwig",86.62
"Paul Lucas",83.98
"Dorothy Dickinson",79.98
"Muhammed Lee",79.98
"Greg Hansen",78.85
"Roland Murray",71.97
"Allen Goldenen",71.28
"Phillip Breyer",69.93
"Guy Thornton",61.06
"Robert Barroso",58.58
"Chuck Magee",56.69
"Anemone Ratner",51.75
"Michael Oakman",50.12
"Karen Seio",48.78
"Ricardo Emerson",48.36
"Clay Cheatham",47.98
"Jasper Cacioppo",47.94
"Barry Weirich",46.15
"Fred Wasserman",43.60
"Adrian Shami",41.28
"Dianna Arnett",40.08
"Larry Blacks",26.72
"Susan Gilcrest",19.65
"Carl Jackson",16.52
"Mitch Gastineau",12.32
"Roy Skaria",9.65
"Lela Donovan",5.30
"Thais Sissman",2.81
