"Customer Name",Total_Sales
"Suzanne McNair",5563.40
"Naresj Patel",5529.62
"Amy Cox",5527.85
"Mick Hernandez",5503.09
"Dennis Pardue",5480.73
"Emily Phan",5478.06
"Yoseph Carroll",5454.35
"Stefania Perrino",5440.32
"Luke Weiss",5420.52
"Thomas Seio",5371.11
"Tonja Turnell",5364.80
"Mitch Webber",5341.90
"Tom Prescott",5328.98
"Dianna Wilson",5256.85
"Mitch Willingham",5253.88
"Harold Ryan",5248.80
"Steven Cartwright",5226.20
"Tamara Willingham",5164.62
"Cathy Prescott",5164.10
"Lena Radford",5142.89
"Resi Pölking",5142.12
"Mike Pelletier",5087.93
"Ivan Liston",5040.74
"Laurel Beltran",4985.68
"Dave Hallsten",4932.87
"Irene Maddox",4930.49
"Ted Trevino",4915.59
"Kunst Miller",4909.47
"Philisse Overcash",4893.05
"Heather Kirkland",4877.80
"Anthony Jacobs",4867.34
"Alan Hwang",4805.35
"Russell Applegate",4781.35
"Joe Kamberova",4769.91
"Jim Kriz",4752.45
"Bart Watters",4750.36
"Tracy Blumstein",4730.62
"Sue Ann Reed",4708.52
"Erin Smith",4648.52
"Kean Thornton",4642.10
"Sample Company A",4624.57
"Deborah Brumfield",4621.66
"Giulietta Baptist",4594.34
"Rick Bensley",4556.57
"Anthony Rawles",4523.33
"Arthur Gainer",4510.79
"Stewart Carmichael",4492.68
"Kelly Lampkin",4483.77
"Linda Cazamias",4481.16
"Anna Andreadi",4455.90
"Theone Pippenger",4454.06
"Eugene Moren",4438.33
"Mark Cousins",4432.14
"Katrina Willman",4416.52
"Bradley Drucker",4408.30
"Anthony Johnson",4391.49
"Arianne Irving",4375.79
"Scot Coram",4371.96
"Gary Zandusky",4355.15
"Steven Roelle",4345.88
"Ellis Ballard",4344.51
"Natalie DeCherney",4281.39
"Matt Abelman",4280.62
"Jamie Kunitz",4278.17
"Dave Brooks",4265.30
"Toby Carlisle",4261.85
"Alan Schoenberger",4249.00
"Tracy Hopkins",4229.56
"Bill Eplett",4204.68
"Jill Fjeld",4198.32
"Frank Hawley",4190.71
"Muhammed Yedwab",4134.40
"Dean Katz",4125.84
"Claudia Bergmann",4123.52
"Peter McVee",4115.66
"Stewart Visinsky",4105.32
"Denise Monton",4074.47
"Frank Preis",4046.75
"Sung Pak",4028.57
"Susan Pistek",3990.67
"Craig Molinari",3984.45
"Michael Paige",3983.65
"Sean Christensen",3971.06
"Dana Kaydos",3943.02
"Luke Foster",3930.52
"Gary Hwang",3925.74
"George Ashbrook",3919.77
"Ken Heidel",3918.96
"Dorothy Badders",3908.80
"Kelly Collister",3908.27
"Chris Cortes",3902.53
"Nora Paige",3896.64
"Pierre Wener",3878.31
"John Stevenson",3868.01
"Fred Chung",3865.84
"Ruben Ausman",3832.32
"Roland Schwarz",3831.93
"Annie Thurman",3831.87
"Olvera Toch",3818.62
"Rose O'Brian",3815.47
"Michael Chen",3805.71
"Michael Moore",3794.07
"Carol Adams",3789.72
"Matthew Grinstein",3785.28
"Sanjit Jacobs",3777.88
"Maribeth Dona",3766.40
"Jim Karlsson",3760.03
"Juliana Krohn",3747.66
"Rick Duston",3743.04
"Frank Merwin",3736.20
"Scott Cohen",3729.80
"Hunter Glantz",3690.28
"Liz Preis",3653.40
"Christopher Schild",3651.86
"Rick Hansen",3621.38
"Ben Peterman",3610.29
"Sam Zeldin",3592.44
"Gary McGarr",3582.82
"Thomas Boland",3579.02
"Jeremy Pistek",3572.94
"Dionis Lloyd",3539.32
"Erica Smith",3510.46
"Robert Waldorf",3495.64
"Anna Gayman",3489.06
"Emily Ducich",3484.91
"Pauline Webber",3454.91
"Ed Braxton",3448.27
"Sarah Foster",3422.78
"Frank Carlisle",3414.68
"Sandra Glassco",3406.58
"Bill Stewart",3379.12
"Trudy Schmidt",3368.08
"Sam Craven",3362.96
"Doug Jacobs",3356.40
"Dan Campbell",3336.17
"Arthur Prichep",3323.55
"Dennis Kane",3318.49
"Katharine Harms",3312.87
"Randy Ferguson",3309.14
"Sylvia Foulston",3306.87
"Rick Reed",3302.26
"Brian Dahlen",3288.48
"Brian Stugart",3288.12
"Dianna Vittorini",3285.98
"Rob Williams",3273.65
"Daniel Lacy",3272.20
"Adam Shillingsburg",3255.30
"Jack O'Briant",3254.95
"Damala Kotsonis",3253.53
"Adam Hart",3250.35
"Lindsay Castell",3246.63
"Carol Triggs",3241.90
"Sharelle Roach",3233.48
"Lindsay Williams",3230.30
"Ricardo Sperren",3221.29
"Alejandro Savely",3212.28
"Mark Packer",3206.12
"Christine Sundaresam",3202.16
"Brian Thompson",3196.75
"Deirdre Greer",3195.82
"Victoria Pisteka",3193.62
"Henry Goldwyn",3184.18
"Edward Becker",3166.89
"Greg Matthias",3163.63
"Chloris Kastensmidt",3154.83
"Karen Bern",3152.61
"Janet Martin",3145.36
"Jeremy Lonsdale",3142.74
"Maxwell Schwartz",3138.57
"Ruben Dartt",3133.92
"Tanja Norvell",3130.23
"Steve Nguyen",3127.97
"Speros Goranitis",3116.98
"Katherine Hughes",3100.60
"Patrick Gardner",3086.90
"Gary Mitchum",3078.63
"Eugene Barchas",3071.14
"Toby Gnade",3058.38
"Kean Takahito",3057.10
"Shahid Shariari",3056.81
"Sara Luxemburg",3053.01
"Cynthia Arntzen",3041.58
"Aaron Smayling",3035.03
"Carlos Soltero",3027.74
"Eugene Hildebrand",3013.14
"Lindsay Shagiari",2988.65
"Michelle Huthwaite",2984.95
"Frank Atkinson",2984.05
"Noel Staavos",2964.82
"Tamara Manning",2953.99
"Thea Hudgings",2942.78
"Christine Kargatis",2939.60
"Liz Thompson",2936.26
"Becky Castell",2933.67
"Julie Kriz",2932.49
"David Bremer",2931.71
"Shaun Weien",2921.54
"Maris LaWare",2921.51
"Rob Dowd",2912.90
"Craig Yedwab",2900.02
"Neil Ducich",2893.46
"Mike Gockenbach",2890.59
"Meg Tillman",2890.14
"David Smith",2881.80
"Paul Van Hugh",2876.05
"Chuck Clark",2870.05
"Barry Französisch",2865.78
